suburb,count,words
BALACLAVA,128,"{'off': 28, 'con': 23, 'ass': 23, 'ugh': 20, 'brat': 7, 'sly': 6, 'fuck': 6, 'beat': 4, 'shit': 3, 'sick': 2, 'stupid': 2, 'babe': 2, 'dick': 2, 'bitch': 2, 'crap': 1, 'beef': 1, 'butch': 1, 'combative': 1, 'loser': 1, 'loser ': 1, 'moron': 1, 'oldie': 1, 'perv': 1, 'bastard': 1, 'shitty ': 1, 'dumb': 1, 'dork': 1, 'go to hell': 1, 'rotten': 1, 'horrible': 1, 'mess': 1, 'thug': 1, 'smug': 1, 'mean': 1, 'rude': 1}"
BALWYN,87,"{'ugh': 23, 'off': 20, 'con': 11, 'ass': 11, 'mean': 6, 'fuck': 4, 'beat': 3, 'fat': 3, 'brat': 3, 'sly': 2, 'horrible': 1, 'jealous': 1, 'shit': 1, 'devil': 1, 'evil': 1, 'fake': 1, 'shut up': 1, 'blind': 1, 'sick': 1, 'dumb': 1, 'disgusting': 1}"
BALWYN NORTH,86,"{'ugh': 18, 'con': 18, 'off': 15, 'ass': 15, 'fuck': 6, 'shit': 6, 'beat': 2, 'freak': 2, 'crazy': 2, 'mean': 2, 'sick': 2, 'sly': 2, 'misogynist ': 1, 'devil': 1, 'evil': 1, 'horrendous': 1, 'brat': 1, 'shame': 1, 'crook': 1, 'con ': 1, 'pussy': 1, 'bitch': 1, 'ugly': 1, 'ugly ': 1, 'fuck off': 1, 'fat': 1, 'liar': 1, 'babe': 1, 'shade': 1, 'ridiculous': 1, 'stupid': 1, 'crap': 1}"
BANGHOLME,4,"{'ass': 3, 'off': 1}"
BAXTER,18,"{'ugh': 7, 'con': 5, 'sly': 3, 'ass': 2, 'shade': 1, 'frustrated': 1, 'off': 1, 'shit': 1, 'ugly': 1, 'ugly ': 1, 'rapist': 1, 'fuck': 1}"
BAYSWATER,179,"{'con': 48, 'ugh': 28, 'off': 22, 'ass': 20, 'mean': 13, 'corrupt': 6, 'mess': 6, 'beat': 6, 'fuck': 6, 'sick': 5, 'evil': 5, 'sly': 4, 'brat': 4, 'fool': 3, 'horrible': 2, 'manipulator': 2, 'moron': 2, 'terrorist': 2, 'crap': 2, 'shit': 2, 'rude': 2, ' fool': 2, 'stupid': 2, 'liar': 1, 'dumb': 1, 'pawns': 1, 'bastard': 1, 'coward': 1, 'sordid': 1, 'bad thing': 1, 'obnoxious': 1, 'butch': 1, 'trouble': 1, 'con ': 1, 'nasty': 1, 'fuck off': 1, 'abject': 1, 'blind': 1, 'fat': 1, 'selfish': 1, 'bitch': 1, 'ridiculous': 1, 'shame': 1, 'jail': 1, 'viper': 1, 'fake': 1, 'vile': 1}"
BAYSWATER NORTH,75,"{'ugh': 19, 'con': 14, 'off': 9, 'mean': 6, 'ass': 4, 'freak': 3, 'fuck': 3, 'babe': 3, 'fat': 2, 'bitch': 2, 'stupid': 2, 'sly': 2, 'devil': 2, 'evil': 2, 'shit': 2, 'jealous': 1, 'crap': 1, 'nobody': 1, 'dork': 1, 'frustrated': 1, ' fool': 1, 'fool': 1}"
BEACONSFIELD,31,"{'mean': 15, 'con': 6, 'off': 3, 'babe': 2, 'shit': 2, 'ugh': 1, 'shame': 1, 'dork': 1, 'ass': 1}"
BEACONSFIELD UPPER,4,"{'ugh': 2, 'con': 1, 'mean': 1}"
BEAUMARIS,96,"{'con': 23, 'ugh': 19, 'ass': 13, 'off': 12, 'sly': 8, 'fuck': 5, 'mean': 4, 'shit': 4, 'beat': 3, 'brat': 3, 'babe': 2, 'fat': 2, 'crazy': 1, 'terrorist': 1, 'robber': 1, 'asshole': 1, 'mess': 1, 'prick': 1, 'crap': 1, 'shame': 1, 'con ': 1, 'horrible': 1, 'sick': 1, 'loser': 1, 'beef': 1, 'dull': 1, 'fucking annoying': 1, 'shade': 1}"
BELGRAVE,263,"{'loser': 148, 'loser ': 145, 'fuck': 37, 'ugh': 29, 'shit': 25, 'con': 24, 'ass': 16, 'off': 12, 'con ': 6, 'fat': 3, 'dick': 3, 'fuck you': 3, 'fuck off': 2, 'sick': 2, 'mean': 2, 'shame': 2, 'sly': 2, 'holy fuck': 1, 'pedophile': 1, 'retard': 1, 'jerk': 1, 'freak': 1, 'sucker': 1, 'devil': 1, 'evil': 1, 'frustrated': 1, 'holy shit': 1, 'whore': 1, 'shut up': 1, 'toilet paper ': 1, 'fucking annoying': 1, 'jail': 1, 'mess': 1, 'babe': 1, 'ugly': 1, 'ugly ': 1, 'crazy': 1, 'shade': 1, 'crap': 1, 'thug': 1}"
BELGRAVE HEIGHTS,10,"{'ass': 2, 'off': 2, 'ugh': 2, 'freak': 1, 'liar': 1, ' fool': 1, 'fool': 1, 'beat': 1, 'bitch': 1, 'shit': 1}"
BELGRAVE SOUTH,41,"{'fuck': 8, 'shit': 8, 'off': 7, 'arse': 6, 'con': 6, 'ass': 4, 'ugh': 3, 'crap': 3, 'fake': 2, 'trouble': 2, 'loser': 2, ' fool': 2, 'fool': 2, 'dumb': 1, 'fat': 1, 'loser ': 1, 'devil': 1, 'evil': 1, 'dick': 1, 'bastard': 1, 'fuck you': 1, 'jerk': 1, 'traitor ': 1, 'traitor': 1, 'mess': 1}"
BELLARINE,2,"{'brat': 1, 'con': 1}"
BELLFIELD,12,"{'off': 3, 'con': 3, 'sneaky': 1, 'ugh': 1, 'jail': 1, 'shit': 1, 'horrible': 1, 'babe': 1, 'mean': 1, 'devil': 1, 'evil': 1}"
BENTLEIGH,143,"{'con': 39, 'ugh': 27, 'off': 19, 'ass': 18, 'fuck': 7, 'shit': 5, 'mean': 5, 'butch': 4, 'brat': 4, 'mess': 3, 'sly': 3, 'sick': 3, 'fat': 3, 'crap': 2, 'con ': 2, 'stupid': 2, 'evil': 2, 'crazy': 1, 'arse': 1, 'motherfucker': 1, 'fucker': 1, 'smug': 1, 'jealous': 1, 'slut': 1, 'horrendous': 1, 'devil': 1, 'sucker': 1, 'trouble': 1, 'selfish': 1}"
BENTLEIGH EAST,201,"{'ugh': 52, 'con': 40, 'off': 28, 'mean': 24, 'ass': 23, 'brat': 9, 'sly': 8, 'dick': 5, 'fuck': 5, 'shit': 4, 'con ': 4, 'bitch': 3, 'crap': 3, 'scam': 2, 'oldie': 2, 'mess': 2, 'fat': 1, 'butch': 1, 'dumb': 1, 'freak': 1, 'whore': 1, 'crazy': 1, 'immoral': 1, 'fake': 1, 'jealous': 1, 'moron': 1, 'beat': 1, 'fag': 1, 'stupid': 1, 'babe': 1}"
BERWICK,209,"{'con': 48, 'ugh': 43, 'ass': 26, 'fuck': 18, 'mean': 17, 'off': 17, 'shit': 15, 'sly': 6, 'sick': 5, 'babe': 5, 'mess': 5, 'bitch': 3, 'beat': 3, 'fag': 2, 'slut': 2, 'liar': 2, 'brat': 2, 'crazy': 2, 'bastard': 1, 'hitman': 1, 'crap': 1, 'holy shit': 1, 'dork': 1, 'prick': 1, 'faggot': 1, 'con ': 1, 'freak': 1, 'stupid': 1, 'rude': 1, 'retard': 1, 'disgusting': 1, 'nobody': 1, 'fucker': 1, 'shame': 1, 'shitty ': 1, 'pussy': 1, 'dumb': 1}"
BEVERIDGE,13,"{'off': 3, 'ass': 2, 'ugh': 2, 'con': 2, 'shit': 1, 'rude': 1, 'brat': 1, 'beat': 1, 'sick': 1, 'fuck off': 1, 'dumb': 1, 'fuck': 1, 'crazy': 1}"
BLACK ROCK,87,"{'con': 20, 'ugh': 18, 'off': 11, 'ass': 5, 'shit': 4, 'brat': 4, 'crazy': 4, 'nobody': 2, 'jealous': 2, 'babe': 2, 'terrorist': 2, 'mess': 2, 'loser': 1, 'stupid': 1, 'sly': 1, 'shut up': 1, 'crap': 1, 'trouble': 1, 'shade': 1, 'sneaky': 1, 'fat': 1, 'mediocre': 1, 'ugly': 1, 'frustrated': 1, 'mean': 1, 'moron': 1}"
BLACKBURN,101,"{'ugh': 26, 'con': 21, 'ass': 16, 'off': 13, 'shit': 8, 'fuck': 6, 'fat': 3, 'sly': 3, 'mean': 3, 'sick': 2, 'beat': 2, 'retard': 1, 'liar': 1, 'nasty': 1, 'con ': 1, 'fucker': 1, 'smug': 1, 'stupid': 1, 'shitty ': 1, 'babe': 1, 'fake': 1, 'jealous': 1, 'wimp': 1, 'mess': 1, 'coward': 1}"
BLACKBURN NORTH,23,"{'ass': 5, 'con': 5, 'ugh': 4, 'off': 4, 'crazy': 1, 'shit': 1, 'sly': 1, 'disgusting': 1, 'dick': 1}"
BLACKBURN SOUTH,86,"{'ass': 25, 'ugh': 18, 'con': 14, 'off': 10, 'fuck': 6, 'beat': 3, 'con ': 2, 'sly': 2, ' fool': 2, 'fool': 2, 'evil': 2, 'shitty ': 1, 'shit': 1, 'vile': 1, 'loser': 1, 'stupid': 1, 'dick': 1, 'mess': 1, 'asshole': 1, 'freak': 1, 'go to hell': 1, 'mean': 1, 'ridiculous': 1, 'sick': 1, 'shame': 1, 'jealous': 1, 'drop dead': 1, 'phoney': 1}"
BOLINDA,2,"{'brat': 1, 'con': 1}"
BONBEACH,203,"{'babe': 108, 'ugh': 22, 'off': 19, 'fuck': 16, 'con': 13, 'ass': 11, 'shit': 10, 'mess': 5, 'fat': 3, 'fucker': 3, 'stupid': 3, 'reckless': 2, 'sick': 2, 'beat': 2, 'bitch': 2, 'mean': 2, 'rude': 2, 'frustrated': 1, 'beef': 1, 'crazy': 1, 'liar': 1, 'shitty ': 1, 'ridiculous': 1, 'trouble': 1, 'shade': 1, 'terrorist': 1, 'moron': 1, 'bad thing': 1, 'prick': 1, 'sly': 1, 'fucking annoying': 1, 'piece of shit': 1}"
BONNIE BROOK,2,"{'ass': 1, 'brat': 1}"
BORONIA,97,"{'ugh': 26, 'con': 17, 'ass': 15, 'off': 11, 'fuck': 6, 'mean': 4, 'shit': 4, 'crazy': 3, 'sick': 2, 'sly': 2, 'stupid': 2, 'freak': 2, 'crap': 2, 'whore': 1, 'brat': 1, 'jealous': 1, 'babe': 1, 'selfish': 1, 'beef': 1, 'mess': 1, 'con ': 1, 'loser': 1, 'pussy': 1, 'shame': 1, 'bitch': 1, 'beat': 1, 'disgusting': 1, 'dick': 1}"
BOTANIC RIDGE,54,"{'ugh': 16, 'con': 8, 'off': 7, 'ass': 6, 'sly': 4, 'dumb': 3, 'mean': 3, 'disgusting': 3, 'fuck': 2, 'shit': 2, 'moron': 2, 'fat': 1, 'mess': 1, 'beat': 1, 'trouble': 1, 'bitch': 1, 'stupid': 1, 'liar': 1, 'freak': 1, 'shut up': 1, 'horrendous': 1, 'smug': 1, 'coward': 1}"
BOX HILL,159,"{'ugh': 43, 'off': 22, 'con': 22, 'ass': 16, 'shit': 13, 'fuck': 8, 'mean': 6, 'sick': 5, 'sly': 4, 'freak': 4, 'fake': 3, 'babe': 3, 'stupid': 2, 'beat': 2, 'bitch': 2, 'dull': 2, 'selfish': 1, 'miserable': 1, 'crap': 1, 'fucker': 1, 'brat': 1, 'trouble': 1, 'mess': 1, 'devil': 1, 'evil': 1, 'thug': 1, 'fat': 1, 'dick': 1, 'backlash': 1, 'pussy': 1, 'arse': 1, 'crazy': 1, 'disgusting': 1, 'rude': 1, 'vile': 1, ' fool': 1, 'fool': 1}"
BOX HILL NORTH,61,"{'ugh': 22, 'ass': 8, 'off': 6, 'con': 5, 'mean': 5, 'shit': 4, 'fuck': 3, 'beat': 3, 'sick': 2, 'fat': 2, 'fake': 1, 'shame': 1, 'bitch': 1, 'freak': 1, 'crap': 1, 'crazy': 1, 'sly': 1, 'ugly': 1, 'ignorant': 1, 'devil': 1, 'evil': 1, 'shade': 1}"
BOX HILL SOUTH,34,"{'ugh': 9, 'con': 5, 'dull': 4, 'fuck': 4, 'off': 3, 'ass': 3, 'fat': 2, 'fuck it': 1, 'fuck you': 1, 'brat': 1, 'terrorist': 1, 'Satan': 1, 'crap': 1, 'mean': 1, 'mess': 1, 'fuck off': 1, 'bitch': 1, 'crazy': 1, 'jealous': 1, 'tabloid': 1}"
BRAESIDE,17,"{'ugh': 5, 'mean': 2, 'con': 2, 'ass': 2, 'liar': 1, 'stupid': 1, 'beat': 1, 'off': 1, 'crazy': 1, 'fuck': 1}"
BRAYBROOK,89,"{'ugh': 23, 'off': 14, 'fuck': 14, 'con': 11, 'ass': 7, 'sick': 4, 'bitch': 3, 'con ': 2, 'crazy': 2, 'dick': 2, 'crap': 2, 'liar': 2, 'mean': 2, 'stupid': 2, 'arse': 1, 'jealous': 1, 'sly': 1, 'fuck off': 1, 'poor man': 1, 'worthless': 1, 'shame': 1, 'fucker': 1, 'fat': 1, 'freak': 1, 'slut': 1, 'thug': 1, 'whore': 1, 'shit': 1, 'leftist': 1, 'blind': 1, 'dumb': 1, 'beat': 1, 'smug': 1, 'brat': 1}"
BRIAR HILL,35,"{'con': 15, 'ugh': 9, 'off': 3, 'ass': 3, 'butch': 2, 'crap': 2, 'mean': 1, 'trouble': 1, 'arse': 1, 'fuck': 1}"
BRIGHTON,347,"{'ass': 68, 'ugh': 63, 'con': 54, 'off': 53, 'fuck': 13, 'fat': 11, 'crazy': 8, 'mean': 8, 'sly': 8, 'beat': 7, 'brat': 7, 'sick': 7, 'babe': 6, 'loser': 6, 'loser ': 4, 'mess': 4, 'dumb': 4, 'crap': 4, 'rude': 3, 'stupid': 3, 'dick': 3, 'jail': 2, 'evil': 2, 'bastard': 2, 'nobody': 2, 'sneaky': 2, ' fool': 2, 'fool': 2, 'shit': 2, 'moron': 2, 'shade': 2, 'nasty': 2, 'bitch': 2, 'trouble': 2, 'con ': 2, 'shame': 2, 'vile': 1, 'ignorant': 1, 'fag': 1, 'tabloid': 1, 'rotter': 1, 'despise': 1, 'beef': 1, 'you rat': 1, 'devil': 1, 'toilet paper ': 1, 'murderer': 1, 'in jail': 1, 'ridiculous': 1, 'butch': 1, 'pussy': 1, 'fuck you': 1, 'imbecile': 1, 'sucker': 1, 'fuck it': 1, 'infamy': 1, 'holy fuck': 1, 'liar': 1, 'scam': 1, 'yikes': 1, 'bribe': 1, 'fuck off': 1, 'horrible': 1, 'beast': 1, 'fake': 1, 'jealous': 1, 'arse': 1}"
BRIGHTON EAST,363,"{'ugh': 67, 'con': 60, 'off': 30, 'ass': 27, 'fuck': 26, 'shit': 22, 'arse': 17, 'sly': 14, 'white trash': 11, 'dick': 11, 'mean': 11, 'ugly': 8, 'ugly ': 8, 'imbecile': 8, 'sick': 8, 'stupid': 7, 'fat': 7, 'mess': 6, 'evil': 6, 'beat': 6, 'jail': 5, 'liar': 5, 'crap': 5, 'oldie': 4, 'horrible': 4, 'trouble': 4, 'con ': 3, 'dumb': 3, 'scumbag': 3, 'brat': 3, 'babe': 3, 'loser': 3, 'rude': 2, 'yuck': 2, 'crazy': 2, 'loser ': 2, 'bastard': 2, 'terrorist': 2, 'rotten': 2, 'beef': 2, 'shame': 2, 'freak': 2, 'ignorant': 2, 'beast': 1, 'shade': 1, 'ridiculous': 1, 'selfish': 1, 'piece of shit ': 1, 'piece of shit': 1, 'gangster': 1, 'brainwash': 1, 'in jail': 1, 'disgusting': 1, 'loathsome': 1, 'prick': 1, 'despicable': 1, 'revolted': 1, ' fool': 1, 'fool': 1, 'nobody': 1, 'horrendous': 1, 'stupid things': 1, 'smug': 1, 'moron': 1, 'corrupt': 1, 'asshole': 1, 'trashbag': 1, 'misogynist ': 1, 'dishonest': 1, 'perv': 1, 'degenerate': 1, 'sneaky': 1, 'fake': 1}"
BROADMEADOWS,195,"{'con': 27, 'ugh': 25, 'ass': 22, 'fuck': 20, 'off': 19, 'dick': 16, 'shit': 15, 'fat': 14, 'mean': 9, 'bitch': 8, 'sly': 7, 'crazy': 5, 'fake': 4, 'ugly': 3, 'ugly ': 3, 'pussy': 3, 'brat': 2, 'mess': 2, 'trouble': 2, 'con ': 2, 'stupid': 2, 'crap': 2, 'nobody': 2, 'devil': 2, 'evil': 2, 'troublemaker': 1, 'fuck it': 1, 'go to hell': 1, 'dumb': 1, 'corrupt': 1, 'beast': 1, 'thug': 1, 'fuck off': 1, 'terrorist': 1, 'jealous': 1, 'asshole': 1, 'motherfucker': 1, 'fucker': 1, 'retard': 1, 'jerk': 1, 'you rat': 1, 'frustrated': 1, 'babe': 1, 'shame': 1, 'bastard': 1}"
BROOKFIELD,83,"{'ugh': 18, 'fuck': 16, 'con': 14, 'ass': 11, 'off': 10, 'mean': 5, 'bitch': 5, 'crazy': 4, 'mess': 3, 'sick': 3, 'dumb': 2, 'rotter': 2, 'stupid': 2, 'sly': 2, 'dick': 1, 'babe': 1, 'fake': 1, 'fag': 1, 'shit': 1, 'fat': 1, 'get fucked': 1, 'liar': 1, 'devil': 1, 'evil': 1, 'con ': 1, 'beat': 1, 'nobody': 1}"
BROOKLYN,16,"{'ugh': 5, 'off': 3, 'fuck': 3, 'mean': 1, 'sly': 1, 'fuck off': 1, 'stupid': 1, 'butch': 1, 'jealous': 1, 'con': 1, 'ridiculous': 1}"
BRUNSWICK,798,"{'off': 164, 'ugh': 147, 'con': 145, 'ass': 116, 'fuck': 38, 'shit': 32, 'mean': 24, 'sly': 19, 'brat': 16, 'beat': 15, 'fat': 13, 'mess': 11, 'stupid': 10, 'evil': 9, 'crap': 9, 'crazy': 7, 'fake': 7, 'dick': 6, 'con ': 6, 'bastard': 6, 'arse': 5, 'sick': 5, 'babe': 5, 'disgusting': 5, 'dumb': 5, 'fool': 5, 'shade': 4, 'liar': 4, 'ugly': 4, 'ugly ': 4, 'rude': 4, ' fool': 4, 'ridiculous': 4, 'mafia': 3, 'corrupt': 3, 'beast': 3, 'crook': 3, 'shame': 3, 'devil': 3, 'beef': 2, 'vile': 2, 'smug': 2, 'piece of shit': 2, 'thief': 2, 'dishonest': 2, 'cynical': 2, 'thug': 2, 'ignorant': 2, 'fucker': 2, 'jealous': 2, 'slut': 2, 'bitch': 1, 'prick': 1, 'get fucked': 1, 'vulture': 1, 'batshit crazy': 1, 'sleazy': 1, 'rotter': 1, 'cuckoo': 1, 'bad thing': 1, 'whining': 1, 'selfish': 1, 'piece of shit ': 1, 'nasty': 1, 'spoiled': 1, 'sneaky': 1, 'terrorist': 1, 'scam': 1, 'scam ': 1, 'fuck you': 1, 'trouble': 1, 'despicable': 1, 'sucker': 1, 'fuck off': 1, 'cheater': 1, 'rapist': 1, 'moron': 1, 'horrible': 1, 'shut up': 1, 'damned ': 1}"
