,id,coordinates,lang,text,neg,neu,pos,compound
117,ec1c77f341246271e9d88c26c2e33b83,"{'type': 'Point', 'coordinates': [144.9575074, -37.82364074]}",en,last night with these two  melb hangouts lifeisgood  crown httpstcofdzq2h7ilh,0.0,1.0,0.0,0.0
118,ec1c77f341246271e9d88c26c2ec2921,"{'type': 'Point', 'coordinates': [144.83017503, -37.87285012]}",en,altona pier last night  altona  altonabeach pretty beautiful red orange sky skyporn httpstcotj3a5h2ety,0.0,0.608,0.392,0.7964
119,ec1c77f341246271e9d88c26c2edd166,"{'type': 'Point', 'coordinates': [144.948355, -37.816695]}",en,getonred renegades bbl05 hot night at the cricket httpstcocoob6ltujj,0.0,1.0,0.0,0.0
120,ec1c77f341246271e9d88c26c2ee4d0c,"{'type': 'Point', 'coordinates': [145.0044608, -37.85917018]}",en, german night  german club tivoli in windsor victoria httpstcojesumralzw,0.0,1.0,0.0,0.0
121,ec1c77f341246271e9d88c26c2ef90eb,"{'type': 'Point', 'coordinates': [144.96733739, -37.79841195]}",en,crazy queue everyone wants gelati on this hot melbourne night  httpstcoqf6pw4pmjp,0.194,0.806,0.0,-0.34
122,ec1c77f341246271e9d88c26c2f43b63,"{'type': 'Point', 'coordinates': [144.967, -37.8167]}",en,such a beautiful sunset last night in melbourne  even though the buildings block most of the httpstco6xlmfxy0i7,0.139,0.673,0.188,0.25
123,ec1c77f341246271e9d88c26c2f446e5,"{'type': 'Point', 'coordinates': [144.94783836, -37.81661271]}",en,big bash last night markoscfc bbl05  etihad stadium httpstcohxpfty5wjn,0.0,1.0,0.0,0.0
124,ec1c77f341246271e9d88c26c2fc1324,"{'type': 'Point', 'coordinates': [144.967, -37.8167]}",en,pretty sunset over melbourne last night   melbourne australia httpstcohsjgam9ltx,0.0,0.714,0.286,0.4939
125,ec5cc22fd5c7bde95cd0cfc16337a590,"{'type': 'Point', 'coordinates': [145.01499, -37.73097]}",en,the giveaway swag is piling up for tomorrow nights 100th byo vinyl night event at httpstcoapen2kdh60,0.0,1.0,0.0,0.0
126,ec81f61a6753f5fedf52e231c109708f,"{'type': 'Point', 'coordinates': [144.95683652, -37.83223319]}",en,dont be fooled by the smile on my face i was in serious struggle town after a big night aye httpstco11ocqsnkfx,0.155,0.644,0.201,0.2695
127,ec81f61a6753f5fedf52e231c1f51b22,"{'type': 'Point', 'coordinates': [144.97178442, -37.80477536]}",en,talking prosciuttodiparmait and cheese last night at itawinefoodfest in melbourne whatta shot httpstcortkdcvajd5,0.0,1.0,0.0,0.0
128,ecfb70fd6c9797e43a24bd101e100613,"{'type': 'Point', 'coordinates': [145.19152313, -37.80485638]}",en,splashing around in cosmoaustralia this month in my puretanaust purebronze dark tan  httptcokubzgwybgz,0.0,1.0,0.0,0.0
129,ecfb70fd6c9797e43a24bd101e1045ab,"{'type': 'Point', 'coordinates': [144.99529423, -37.7905823]}",en,kellypblack you should come along one night bring the crew its good fun and theres some good cricket played,0.0,0.566,0.434,0.8885
130,ecfb70fd6c9797e43a24bd101e1053d9,"{'type': 'Point', 'coordinates': [145.1544494, -38.18162826]}",en,petezahhutt night dad,0.0,1.0,0.0,0.0
131,ecfb70fd6c9797e43a24bd101e153247,"{'type': 'Point', 'coordinates': [144.97309372, -37.86534557]}",en,st kilda beach at night looks sick  st kilda beach httptcosqpqtenl1k,0.248,0.752,0.0,-0.5106
132,ecfb70fd6c9797e43a24bd101e159c32,"{'type': 'Point', 'coordinates': [144.99852779, -37.87062692]}",en,this friday night i even get to see the final masterpiece as ive been tooned by the amazing brett willis httptco3btcymwsoa,0.0,0.695,0.305,0.836
